From,Mint Count,Airdrop USDC
0x0cc02468c8ca847b946a2830fcbea2fb31fded03,1,227
0x7e89fb4327eb388567ab2d11c19889215eb4fe41,10,2273
0x74b5639107983147e69b60b4924bd84514f4deec,1,227
0xb8f48ab316f8ee6956867b3e63f1619a9c7b4c5e,2,455
0x74b5639107983147e69b60b4924bd84514f4deec,1,227
0xfcc9aacc13990e2e3f0a003083706d10af6ebdc4,1,227
0xa55c58284c48e13fe20b4dfd4024f95a4af51478,1,227
0xd7da54fc6ba2d46ed00788082330a27c37842ab5,2,455
0x17f3bab5b1d7be9dce6e4530af6f64869132f856,2,455
0x4f8b576bd12046c3ec61a6820b9b0b84ec99646c,1,227
0xe985d0021fb166c650838d787c246b3a9e5101c6,1,227
0xa8c86b2ffd18aa2082a9c07b028c8fcee46a727b,1,227
0xe677627c3a1dd522429660e1db2fff6a79109832,1,227
0x305641829eb46b6ceb3f032d72970b479acbd8c5,1,227
0x2b40445bb12427d598ce5e105de33dbfe4066a5e,1,227
0x2b40445bb12427d598ce5e105de33dbfe4066a5e,1,227
0x13e924999e287462af79b86792fac2b72f7afac6,2,455
0x3566f5fe437a34b099fb6284e7fa17c32d56fe66,1,227
0x2b40445bb12427d598ce5e105de33dbfe4066a5e,2,455
0x3fa0c66b48fcf0c0bb3fa84ac7ff0a3fb8cbda80,1,227
0x50577b6c03d36fb12842cb32217f39d80ff1ca14,1,227
0xc00fcf03fcf2ae8f53ea8ed0303b9a5cb15e0ddd,1,227
0xc993110b77f99042e31c71945fc52408bc5c19f8,1,227
0xc83280f38e6bbe34a1b72d0233abac2e1041ca91,1,227
0x72df758524816bb785f144bda2c9acc5449eb69d,1,227
0x322dbb01312afb51e7f2515267e228974ef93f86,1,227
0x176692427ed5a743e0f5eb553003d03176513f9a,1,227
0x72df758524816bb785f144bda2c9acc5449eb69d,2,455
0xee790b6245c96ff48196926d261c3c818de2ffcf,1,227